action	old_id	scafold
rm	BFRA_011686	tig00000251
rm	BFRA_010635	tig00000797
rm	BFRA_007587	tig00000112
rm	BFRA_007856	tig00000112
rm	BFRA_010231	tig00000186
rm	BFRA_006336	tig00000000
rm	BFRA_006347	tig00000000
rm	BFRA_006444	tig00000000
rm	BFRA_006460	tig00000000
rm	BFRA_006777	tig00000000
rm	BFRA_006876	tig00000000
rm	BFRA_000105	tig00000001
rm	BFRA_000128	tig00000001
rm	BFRA_000298	tig00000001
rm	BFRA_000341	tig00000001
rm	BFRA_000915	tig00000001
rm	BFRA_001475	tig00000006
rm	BFRA_001517	tig00000006
rm	BFRA_001533	tig00000006
rm	BFRA_001738	tig00000006
rm	BFRA_002175	tig00000006
rm	BFRA_002190	tig00000006
rm	BFRA_002517	tig00000012
rm	BFRA_002950	tig00000012
rm	BFRA_011340	tig00000037
rm	BFRA_011424	tig00000037
rm	BFRA_011475	tig00000037
rm	BFRA_011531	tig00000037
rm	BFRA_003233	tig00000045
rm	BFRA_003547	tig00000045
rm	BFRA_004183	tig00000050
rm	BFRA_004185	tig00000050
rm	BFRA_004186	tig00000050
rm	BFRA_004217	tig00000050
rm	BFRA_004285	tig00000050
rm	BFRA_004367	tig00000050
rm	BFRA_004740	tig00000050
rm	BFRA_005060	tig00000054
rm	BFRA_008301	tig00000061
rm	BFRA_008302	tig00000061
rm	BFRA_008534	tig00000061
rm	BFRA_005521	tig00000075
rm	BFRA_005548	tig00000075
rm	BFRA_005740	tig00000075
rm	BFRA_006164	tig00000075
rm	BFRA_008766	tig00000101
rm	BFRA_008947	tig00000101
rm	BFRA_009080	tig00000101
rm	BFRA_007844	tig00000112
rm	BFRA_009496	tig00000161
rm	BFRA_009553	tig00000161
rm	BFRA_009576	tig00000161
rm	BFRA_010090	tig00000186
rm	BFRA_010124	tig00000186
rm	BFRA_010343	tig00000186
rm	BFRA_011172	tig00000225
rm	BFRA_011282	tig00000225
rm	BFRA_011285	tig00000225
rm	BFRA_011746	tig00000251
rm	BFRA_011960	tig00000255
rm	BFRA_012431	tig00000274
rm	BFRA_007035	tig00000795
rm	BFRA_007195	tig00000795
rm	BFRA_007296	tig00000795
rm	BFRA_010415	tig00000797
rm	BFRA_010468	tig00000797
rm	BFRA_010564	tig00000797
rm	BFRA_007310	tig00000795
rm	BFRA_006418	tig00000000
rm	BFRA_006416	tig00000000
rm	BFRA_006485	tig00000000
rm	BFRA_000050	tig00000001
rm	BFRA_000464	tig00000001
rm	BFRA_000096	tig00000001
rm	BFRA_001065	tig00000001
rm	BFRA_001581	tig00000006
rm	BFRA_001780	tig00000006
rm	BFRA_001796	tig00000006
rm	BFRA_001830	tig00000006
rm	BFRA_001875	tig00000006
rm	BFRA_001947	tig00000006
rm	BFRA_002471	tig00000012
rm	BFRA_011438	tig00000037
rm	BFRA_003782	tig00000045
rm	BFRA_003285	tig00000045
rm	BFRA_004638	tig00000050
rm	BFRA_004714	tig00000050
rm	BFRA_004744	tig00000050
rm	BFRA_004759	tig00000050
rm	BFRA_005082	tig00000054
rm	BFRA_005332	tig00000054
rm	BFRA_005492	tig00000054
rm	BFRA_005050	tig00000054
rm	BFRA_005066	tig00000054
rm	BFRA_008517	tig00000061
rm	BFRA_008205	tig00000061
rm	BFRA_008222	tig00000061
rm	BFRA_008290	tig00000061
rm	BFRA_008295	tig00000061
rm	BFRA_008296	tig00000061
rm	BFRA_008438	tig00000061
rm	BFRA_005954	tig00000075
rm	BFRA_005984	tig00000075
rm	BFRA_006198	tig00000075
rm	BFRA_008671	tig00000101
rm	BFRA_008681	tig00000101
rm	BFRA_008677	tig00000101
rm	BFRA_008997	tig00000101
rm	BFRA_009044	tig00000101
rm	BFRA_008903	tig00000101
rm	BFRA_008905	tig00000101
rm	BFRA_008945	tig00000101
rm	BFRA_008021	tig00000112
rm	BFRA_007851	tig00000112
rm	BFRA_009543	tig00000161
rm	BFRA_009268	tig00000161
rm	BFRA_009387	tig00000161
rm	BFRA_009978	tig00000163
rm	BFRA_009682	tig00000163
rm	BFRA_009730	tig00000163
rm	BFRA_010135	tig00000186
rm	BFRA_010222	tig00000186
rm	BFRA_010972	tig00000223
rm	BFRA_011800	tig00000251
rm	BFRA_011880	tig00000255
rm	BFRA_011911	tig00000255
rm	BFRA_011943	tig00000255
rm	BFRA_012015	tig00000260
rm	BFRA_012194	tig00000270
rm	BFRA_012221	tig00000270
rm	BFRA_012285	tig00000270
rm	BFRA_012467	tig00000347
rm	BFRA_007466	tig00000795
rm	BFRA_007525	tig00000795
rm	BFRA_007538	tig00000795
rm	BFRA_000053	tig00000001
rm	BFRA_000658	tig00000001
rm	BFRA_002566	tig00000012
rm	BFRA_002776	tig00000012
rm	BFRA_011354	tig00000037
rm	BFRA_003613	tig00000045
rm	BFRA_003742	tig00000045
rm	BFRA_004347	tig00000050
rm	BFRA_009476	tig00000161
rm	BFRA_011593	tig00000251
rm	BFRA_011619	tig00000251
rm	BFRA_011801	tig00000251
rm	BFRA_007311	tig00000795
rm	BFRA_007564	tig00000795
rm	BFRA_007018	tig00000795
rm	BFRA_010511	tig00000797
rm	BFRA_011254	tig00000225
rm	BFRA_011992	tig00000255
rm	BFRA_006661	tig00000000
rm	BFRA_003160	tig00000012
rm	BFRA_009869	tig00000163
rm	BFRA_006221	tig00000000
rm	BFRA_006252	tig00000000
rm	BFRA_006629	tig00000000
rm	BFRA_006648	tig00000000
rm	BFRA_006934	tig00000000
rm	BFRA_006945	tig00000000
rm	BFRA_006417	tig00000000
rm	BFRA_000044	tig00000001
rm	BFRA_000532	tig00000001
rm	BFRA_000614	tig00000001
rm	BFRA_000629	tig00000001
rm	BFRA_000664	tig00000001
rm	BFRA_001093	tig00000001
