action	old_id	new_id	scafold
replace	BFRA_000317	BFRA_000317	tig00000001
replace	BFRA_000559	BFRA_000559	tig00000001
replace	BFRA_000749	BFRA_000749	tig00000001
replace	BFRA_001388	BFRA_001388	tig00000006
replace	BFRA_001449	BFRA_001449	tig00000006
replace	BFRA_001560	BFRA_001560	tig00000006
replace	BFRA_002502	BFRA_002502	tig00000012
replace	BFRA_002976	BFRA_002976	tig00000012
replace	BFRA_003163	BFRA_003163	tig00000012
replace	BFRA_003328	BFRA_003328	tig00000045
replace	BFRA_003537	BFRA_003537	tig00000045
replace	BFRA_004024	BFRA_004024	tig00000045
replace	BFRA_004214	BFRA_004214	tig00000050
replace	BFRA_004609	BFRA_004609	tig00000050
replace	BFRA_004817	BFRA_004817	tig00000054
replace	BFRA_005106	BFRA_005106	tig00000054
replace	BFRA_005461	BFRA_005461	tig00000054
replace	BFRA_006120	BFRA_006120	tig00000075
replace	BFRA_006792	BFRA_006792	tig00000000
replace	BFRA_007062	BFRA_007062	tig00000795
replace	BFRA_007240	BFRA_007240	tig00000795
replace	BFRA_007435	BFRA_007435	tig00000795
replace	BFRA_007695	BFRA_007695	tig00000112
replace	BFRA_007957	BFRA_007957	tig00000112
replace	BFRA_008446	BFRA_008446	tig00000061
replace	BFRA_008591	BFRA_008591	tig00000061
replace	BFRA_008592	BFRA_008592	tig00000061
replace	BFRA_008819	BFRA_008819	tig00000101
replace	BFRA_009950	BFRA_009950	tig00000163
replace	BFRA_010071	BFRA_010071	tig00000186
replace	BFRA_010177	BFRA_010177	tig00000186
replace	BFRA_010643	BFRA_010643	tig00000797
replace	BFRA_011562	BFRA_011562	tig00000037
replace	BFRA_012376	BFRA_012376	tig00000274
replace	BFRA_002099	BFRA_002099	tig00000006
replace	BFRA_001985	BFRA_001985	tig00000006
