action	old_id	new_id	scafold
add	augustus_masked-tig00000251-abinit-gene-3.33-mRNA-1	BFRA_011686ra	tig00000251
add	augustus_masked-tig00000797-abinit-gene-8.34-mRNA-1	BFRA_010635la	tig00000797
add	genemark-tig00000797-abinit-gene-8.12-mRNA-1	BFRA_010635lb	tig00000797
add	augustus_masked-tig00000797-abinit-gene-8.36-mRNA-1	BFRA_010635lc	tig00000797
add	augustus_masked-tig00000797-abinit-gene-8.37-mRNA-1	BFRA_010635ld	tig00000797
add	augustus_masked-tig00000797-abinit-gene-8.38-mRNA-1	BFRA_010635le	tig00000797
add	augustus_masked-tig00000797-abinit-gene-8.39-mRNA-1	BFRA_010635lf	tig00000797
add	genemark-tig00000797-abinit-gene-8.17-mRNA-1	BFRA_010635lg	tig00000797
add	augustus_masked-tig00000112-abinit-gene-1.28-mRNA-1	BFRA_007587la	tig00000112
add	augustus_masked-tig00000112-abinit-gene-1.27-mRNA-1	BFRA_007587lb	tig00000112
add	augustus_masked-tig00000112-abinit-gene-9.45-mRNA-1	BFRA_007856la	tig00000112
add	augustus_masked-tig00000112-abinit-gene-9.46-mRNA-1	BFRA_007856lb	tig00000112
add	augustus_masked-tig00000186-abinit-gene-6.42-mRNA-1	BFRA_010231la	tig00000186
add	augustus_masked-tig00000186-abinit-gene-6.43-mRNA-1	BFRA_010231lb	tig00000186
add	augustus_masked-tig00000000-abinit-gene-4.56-mRNA-1	BFRA_006336ca	tig00000000
add	genemark-tig00000000-abinit-gene-4.11-mRNA-1	BFRA_006347ca	tig00000000
add	genemark-tig00000000-abinit-gene-4.12-mRNA-1	BFRA_006347cb	tig00000000
add	genemark-tig00000000-abinit-gene-7.27-mRNA-1	BFRA_006444ca	tig00000000
add	genemark-tig00000000-abinit-gene-8.14-mRNA-1	BFRA_006460ca	tig00000000
add	snap_masked-tig00000000-abinit-gene-8.68-mRNA-1	BFRA_006460cb	tig00000000
add	genemark-tig00000000-abinit-gene-18.11-mRNA-1	BFRA_006777ca	tig00000000
add	genemark-tig00000000-abinit-gene-18.12-mRNA-1	BFRA_006777cb	tig00000000
